buy_order,sell_order,percent_change
"{'orderType': True, 'location': 1042508032148, 'price': 55550.0, 'system': 30000144, 'item': 25606, 'volume': 6431}","{'orderType': False, 'location': 60012667, 'price': 39920.0, 'system': 30000180, 'item': 25606, 'volume': 36}",39.153306613226455
"{'orderType': True, 'location': 60003760, 'price': 41500.0, 'system': 30000142, 'item': 5181, 'volume': 1859}","{'orderType': False, 'location': 60015027, 'price': 29990.0, 'system': 30030141, 'item': 5181, 'volume': 14}",38.37945981993998
"{'orderType': True, 'location': 60004225, 'price': 64030.0, 'system': 30000156, 'item': 11557, 'volume': 7}","{'orderType': False, 'location': 60003760, 'price': 46850.0, 'system': 30000142, 'item': 11557, 'volume': 309}",36.67022411953042
"{'orderType': True, 'location': 60000307, 'price': 6000.0, 'system': 30000189, 'item': 28362, 'volume': 10}","{'orderType': False, 'location': 60003760, 'price': 4399.0, 'system': 30000142, 'item': 28362, 'volume': 3238}",36.39463514435099
"{'orderType': True, 'location': 60004225, 'price': 61060.0, 'system': 30000156, 'item': 11555, 'volume': 7}","{'orderType': False, 'location': 60003760, 'price': 44880.0, 'system': 30000142, 'item': 11555, 'volume': 226}",36.051693404634584
"{'orderType': True, 'location': 60003760, 'price': 5336.0, 'system': 30000142, 'item': 84521, 'volume': 296}","{'orderType': False, 'location': 60012667, 'price': 3930.0, 'system': 30000180, 'item': 84521, 'volume': 1}",35.776081424936386
"{'orderType': True, 'location': 60000307, 'price': 10000.0, 'system': 30000189, 'item': 28366, 'volume': 10}","{'orderType': False, 'location': 60003760, 'price': 7398.0, 'system': 30000142, 'item': 28366, 'volume': 396}",35.17166801838334
"{'orderType': True, 'location': 60000871, 'price': 120.72, 'system': 30000184, 'item': 3673, 'volume': 48939}","{'orderType': False, 'location': 60000277, 'price': 90.0, 'system': 30000148, 'item': 3673, 'volume': 94161}",34.13333333333333
"{'orderType': True, 'location': 60003760, 'price': 562600.0, 'system': 30000142, 'item': 16365, 'volume': 405}","{'orderType': False, 'location': 60012667, 'price': 420500.0, 'system': 30000180, 'item': 16365, 'volume': 3}",33.793103448275865
"{'orderType': True, 'location': 60003337, 'price': 59.34, 'system': 30000139, 'item': 9852, 'volume': 274}","{'orderType': False, 'location': 60003397, 'price': 44.4, 'system': 30000129, 'item': 9852, 'volume': 106}",33.64864864864866
"{'orderType': True, 'location': 60002239, 'price': 246.09, 'system': 30000194, 'item': 11855, 'volume': 30969}","{'orderType': False, 'location': 60002734, 'price': 186.0, 'system': 30000146, 'item': 11855, 'volume': 33333}",32.306451612903224
"{'orderType': True, 'location': 1042508032148, 'price': 18550.0, 'system': 30000144, 'item': 25600, 'volume': 9949}","{'orderType': False, 'location': 60012667, 'price': 14110.0, 'system': 30000180, 'item': 25600, 'volume': 79}",31.467044649184977
"{'orderType': True, 'location': 1042508032148, 'price': 66690.0, 'system': 30000144, 'item': 25604, 'volume': 3993}","{'orderType': False, 'location': 60012667, 'price': 51030.0, 'system': 30000180, 'item': 25604, 'volume': 26}",30.687830687830687
"{'orderType': True, 'location': 60003760, 'price': 1506.0, 'system': 30000142, 'item': 54714, 'volume': 61}","{'orderType': False, 'location': 60015027, 'price': 1155.0, 'system': 30030141, 'item': 54714, 'volume': 1}",30.38961038961039
"{'orderType': True, 'location': 60003760, 'price': 351800.0, 'system': 30000142, 'item': 5973, 'volume': 526}","{'orderType': False, 'location': 60004228, 'price': 271200.0, 'system': 30000129, 'item': 5973, 'volume': 1}",29.71976401179941
"{'orderType': True, 'location': 60002239, 'price': 116.42, 'system': 30000194, 'item': 3715, 'volume': 30000}","{'orderType': False, 'location': 60012667, 'price': 90.0, 'system': 30000180, 'item': 3715, 'volume': 10}",29.355555555555558
"{'orderType': True, 'location': 60015027, 'price': 3500.0, 'system': 30030141, 'item': 561, 'volume': 10}","{'orderType': False, 'location': 60003760, 'price': 2713.0, 'system': 30000142, 'item': 561, 'volume': 3}",29.00847769996314
"{'orderType': True, 'location': 60003397, 'price': 19350.0, 'system': 30000129, 'item': 672, 'volume': 1}","{'orderType': False, 'location': 60015027, 'price': 15000.0, 'system': 30030141, 'item': 672, 'volume': 5}",28.999999999999996
"{'orderType': True, 'location': 60010192, 'price': 380.0, 'system': 30000160, 'item': 25599, 'volume': 9675}","{'orderType': False, 'location': 60012667, 'price': 300.0, 'system': 30000180, 'item': 25599, 'volume': 87}",26.666666666666668
"{'orderType': True, 'location': 60003334, 'price': 10.0, 'system': 30000145, 'item': 217, 'volume': 1}","{'orderType': False, 'location': 60003760, 'price': 7.92, 'system': 30000142, 'item': 217, 'volume': 190300}",26.262626262626267
"{'orderType': True, 'location': 60003139, 'price': 34.83, 'system': 30000154, 'item': 3814, 'volume': 215206}","{'orderType': False, 'location': 60003346, 'price': 27.6, 'system': 30000171, 'item': 3814, 'volume': 858}",26.195652173913032
"{'orderType': True, 'location': 1044752365771, 'price': 377600.0, 'system': 30000144, 'item': 16375, 'volume': 38}","{'orderType': False, 'location': 60004237, 'price': 300000.0, 'system': 30000129, 'item': 16375, 'volume': 1}",25.866666666666667
"{'orderType': True, 'location': 1042508032148, 'price': 2085.0, 'system': 30000144, 'item': 25598, 'volume': 18908}","{'orderType': False, 'location': 60015027, 'price': 1658.0, 'system': 30030141, 'item': 25598, 'volume': 4}",25.75392038600724
"{'orderType': True, 'location': 60003760, 'price': 691600.0, 'system': 30000142, 'item': 7123, 'volume': 84}","{'orderType': False, 'location': 60004237, 'price': 550000.0, 'system': 30000129, 'item': 7123, 'volume': 1}",25.745454545454542
"{'orderType': True, 'location': 60003760, 'price': 1506.0, 'system': 30000142, 'item': 54830, 'volume': 63}","{'orderType': False, 'location': 60015027, 'price': 1202.0, 'system': 30030141, 'item': 54830, 'volume': 1}",25.291181364392678
